rogram,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2002,WEEK #13,3/31/2002,STATE,ALABAMA,1,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,ARIZONA,4,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,14,
SURVEY,2002,WEEK #13,3/31/2002,STATE,ARKANSAS,5,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,ARKANSAS,5,,,,,,,0,,RICE,"RICE - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,1,
SURVEY,2002,WEEK #13,3/31/2002,STATE,ARKANSAS,5,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,2,
SURVEY,2002,WEEK #13,3/31/2002,STATE,CALIFORNIA,6,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,8,
SURVEY,2002,WEEK #13,3/31/2002,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,COLORADO,8,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,GEORGIA,13,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,IDAHO,16,,,,,,,0,,BARLEY,"BARLEY - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,11,
SURVEY,2002,WEEK #13,3/31/2002,STATE,IDAHO,16,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,14,
SURVEY,2002,WEEK #13,3/31/2002,STATE,ILLINOIS,17,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,IOWA,19,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,15,
SURVEY,2002,WEEK #13,3/31/2002,STATE,KANSAS,20,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,LOUISIANA,22,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,LOUISIANA,22,,,,,,,0,,RICE,"RICE - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,29,
SURVEY,2002,WEEK #13,3/31/2002,STATE,LOUISIANA,22,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,MINNESOTA,27,,,,,,,0,,BARLEY,"BARLEY - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,1,
SURVEY,2002,WEEK #13,3/31/2002,STATE,MINNESOTA,27,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,1,
SURVEY,2002,WEEK #13,3/31/2002,STATE,MINNESOTA,27,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,1,
SURVEY,2002,WEEK #13,3/31/2002,STATE,MISSISSIPPI,28,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,MISSISSIPPI,28,,,,,,,0,,RICE,"RICE - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,2,
