CropNum,FNO3 (kg) ,AREA(ha)
1,2577949062.59016,26199889.4439918
2,207009938.003527,703322.299419342
3,0,13000538.4687835
4,0,2684340.18675791
5,1047460637.97994,13734454.7517013
6,0,0
7,58041728.6738283,1059846.51710647
8,47720277.7687357,288873.019799482
9,409822.322142575,409822.322142575
10,190387.228577248,190387.228577248
11,2389209485.57874,21315983.5843302
12,535051718.009467,3497710.2589484
13,149416862.720875,1524335.04810584
14,82224564.603588,477204.476104567
15,229382483.436009,2978543.2823107
16,269651673.577408,1902288.72943584
17,75434612.7754729,609755.417943418
18,4579457.16736736,22457.7587364607
19,312670.659450422,312670.659450422
20,184511.73675688,184511.73675688
21,11336208.3716634,113225.764319078
22,38167918.5329696,325289.55229302
23,0,0
24,142864344.617923,1339482.14851993
25,11586410.6369404,90396.7056677204
26,232993.147850026,1343.28846089826
27,177273841.346228,2059229.69077714
28,37799096.5969779,240300.823543317
29,5151068.33086672,82346.316291522
30,2727533.35921674,25461.9347702968
31,363542613.528817,24236174.2352545
32,31108853.3784122,2073923.55856082
33,425520316.968121,5246105.03859399
34,42653234.6545548,193234.26546065
35,767014885.265672,9061978.95486001
36,115695547.499363,733799.752976558
37,2619573359.66566,42385116.7111872
38,264578834.882073,1582700.96928178
39,1340679.60907884,15904.2454702227
40,0,0
41,0,0
42,0,0
